Squarewave Voltammetry Test Data
Filename:  SW_2026_08_13_0847.csv
Firmware Version:  1.4.2
Software Version:  2.7.0
Date:  8/13/2026 8:47:00 AM
DAC Zero:  2048
Test Name:  Poseidon NanoRev
Test Type:  SW
Test Settings:
Start Voltage:  -0.800 V
Stop Voltage:  0.800 V
Amplitude:  0.050 V
Frequency:  15 Hz / cycle
Start Delay:  2.0 s
Switch Delay:  0.010 s
Delay Control:  Auto
SW Test:
Mode:  Square wave
Measurement Range:  ±11.75 uA
Scan Data:,Difference 1,,Difference 2,,
Sample,Voltage (V),Current (uA),Voltage (V),Current (uA)
1,-0.8000,0.3046,-0.8000,-0.2106
2,-0.7920,0.3129,-0.7920,-0.2496
3,-0.7839,0.2936,-0.7839,-0.2394
4,-0.7759,0.2709,-0.7759,-0.2187
5,-0.7678,0.2865,-0.7678,-0.2567
6,-0.7598,0.2997,-0.7598,-0.2463
7,-0.7518,0.2601,-0.7518,-0.2243
8,-0.7437,0.2731,-0.7437,-0.2773
9,-0.7357,0.2937,-0.7357,-0.2061
10,-0.7276,0.3389,-0.7276,-0.2533
11,-0.7196,0.3180,-0.7196,-0.2075
12,-0.7116,0.2830,-0.7116,-0.2757
13,-0.7035,0.2936,-0.7035,-0.2749
14,-0.6955,0.2762,-0.6955,-0.2260
15,-0.6874,0.3063,-0.6874,-0.2015
16,-0.6794,0.3387,-0.6794,-0.2494
17,-0.6714,0.3338,-0.6714,-0.2312
18,-0.6633,0.2978,-0.6633,-0.2530
19,-0.6553,0.3217,-0.6553,-0.2758
20,-0.6472,0.3080,-0.6472,-0.2514
21,-0.6392,0.3350,-0.6392,-0.2547
22,-0.6312,0.2965,-0.6312,-0.2743
23,-0.6231,0.2775,-0.6231,-0.2802
24,-0.6151,0.3159,-0.6151,-0.2277
25,-0.6070,0.3240,-0.6070,-0.2216
26,-0.5990,0.2830,-0.5990,-0.2534
27,-0.5910,0.3015,-0.5910,-0.2500
28,-0.5829,0.2718,-0.5829,-0.2152
29,-0.5749,0.2696,-0.5749,-0.2615
30,-0.5668,0.2847,-0.5668,-0.2368
31,-0.5588,0.2698,-0.5588,-0.2008
32,-0.5508,0.3255,-0.5508,-0.2090
33,-0.5427,0.3049,-0.5427,-0.2367
34,-0.5347,0.2930,-0.5347,-0.2795
35,-0.5266,0.3305,-0.5266,-0.2331
36,-0.5186,0.2987,-0.5186,-0.2296
37,-0.5106,0.2788,-0.5106,-0.2476
38,-0.5025,0.2856,-0.5025,-0.2288
39,-0.4945,0.2749,-0.4945,-0.2099
40,-0.4864,0.2745,-0.4864,-0.2027
41,-0.4784,0.2676,-0.4784,-0.2563
42,-0.4704,0.3259,-0.4704,-0.2486
43,-0.4623,0.2625,-0.4623,-0.2732
44,-0.4543,0.2683,-0.4543,-0.2108
45,-0.4462,0.2675,-0.4462,-0.2655
46,-0.4382,0.3092,-0.4382,-0.2019
47,-0.4302,0.2808,-0.4302,-0.2447
48,-0.4221,0.2927,-0.4221,-0.2690
49,-0.4141,0.2880,-0.4141,-0.2598
50,-0.4060,0.2913,-0.4060,-0.2764
51,-0.3980,0.3026,-0.3980,-0.2074
52,-0.3899,0.2760,-0.3899,-0.2535
53,-0.3819,0.2646,-0.3819,-0.2582
54,-0.3739,0.2776,-0.3739,-0.2333
55,-0.3658,0.3102,-0.3658,-0.2416
56,-0.3578,0.2751,-0.3578,-0.2463
57,-0.3497,0.3184,-0.3497,-0.2248
58,-0.3417,0.2779,-0.3417,-0.2725
59,-0.3337,0.2669,-0.3337,-0.2269
60,-0.3256,0.3223,-0.3256,-0.2539
61,-0.3176,0.2984,-0.3176,-0.2545
62,-0.3095,0.2713,-0.3095,-0.2481
63,-0.3015,0.2866,-0.3015,-0.2733
64,-0.2935,0.2722,-0.2935,-0.2616
65,-0.2854,0.2951,-0.2854,-0.2532
66,-0.2774,0.3042,-0.2774,-0.2107
67,-0.2693,0.2944,-0.2693,-0.2594
68,-0.2613,0.3017,-0.2613,-0.2305
69,-0.2533,0.3408,-0.2533,-0.2061
70,-0.2452,0.3323,-0.2452,-0.2200
71,-0.2372,0.2788,-0.2372,-0.2455
72,-0.2291,0.3104,-0.2291,-0.2670
73,-0.2211,0.3276,-0.2211,-0.2250
74,-0.2131,0.3317,-0.2131,-0.2202
75,-0.2050,0.3300,-0.2050,-0.2146
76,-0.1970,0.3450,-0.1970,-0.2223
77,-0.1889,0.2833,-0.1889,-0.2173
78,-0.1809,0.2772,-0.1809,-0.2607
79,-0.1729,0.3132,-0.1729,-0.2697
80,-0.1648,0.2968,-0.1648,-0.2388
81,-0.1568,0.3524,-0.1568,-0.2569
82,-0.1487,0.2869,-0.1487,-0.2612
83,-0.1407,0.2976,-0.1407,-0.2260
84,-0.1327,0.3293,-0.1327,-0.2775
85,-0.1246,0.3679,-0.1246,-0.2721
86,-0.1166,0.3333,-0.1166,-0.2883
87,-0.1085,0.3642,-0.1085,-0.3058
88,-0.1005,0.3923,-0.1005,-0.2894
89,-0.0925,0.4322,-0.0925,-0.3118
90,-0.0844,0.4009,-0.0844,-0.3620
91,-0.0764,0.4703,-0.0764,-0.3339
92,-0.0683,0.4658,-0.0683,-0.3754
93,-0.0603,0.5165,-0.0603,-0.4273
94,-0.0523,0.6155,-0.0523,-0.5146
95,-0.0442,0.6834,-0.0442,-0.5518
96,-0.0362,0.7648,-0.0362,-0.6163
97,-0.0281,0.8896,-0.0281,-0.6823
98,-0.0201,0.9438,-0.0201,-0.7654
99,-0.0121,1.0909,-0.0121,-0.8788
100,-0.0040,1.1333,-0.0040,-0.9584
101,0.0040,1.2709,0.0040,-1.0373
102,0.0121,1.3795,0.0121,-1.0748
103,0.0201,1.3914,0.0201,-1.1728
104,0.0281,1.4503,0.0281,-1.2065
105,0.0362,1.5590,0.0362,-1.2587
106,0.0442,1.5557,0.0442,-1.2205
107,0.0523,1.5578,0.0523,-1.2924
108,0.0603,1.6046,0.0603,-1.2283
109,0.0683,1.5201,0.0683,-1.2050
110,0.0764,1.4837,0.0764,-1.1743
111,0.0844,1.4494,0.0844,-1.1136
112,0.0925,1.3696,0.0925,-1.0386
113,0.1005,1.2246,0.1005,-0.9712
114,0.1085,1.1801,0.1085,-0.9323
115,0.1166,1.1113,0.1166,-0.8927
116,0.1246,0.9721,0.1246,-0.7787
117,0.1327,0.9457,0.1327,-0.7705
118,0.1407,0.8757,0.1407,-0.6959
119,0.1487,0.7634,0.1487,-0.6075
120,0.1568,0.7311,0.1568,-0.6063
